"","workerid","trial","criticalComplicated","criticalSimple","langCondition","objCondition","response","responseSide","responseValue","word"
"1","A00191882MY7HMU9HDWM2","0","""54""","""15""","""long""","""1-1""","""54""","""left""","""complex""","""gaburatum"""
"2","A00191882MY7HMU9HDWM2","1","""4""","""19""","""short""","""1-2""","""4""","""left""","""complex""","""torun"""
"3","A00191882MY7HMU9HDWM2","2","""45""","""44""","""long""","""1-4""","""44""","""left""","""simple""","""pakuwugnum"""
"4","A00191882MY7HMU9HDWM2","3","""43""","""18""","""short""","""4-5""","""18""","""right""","""simple""","""gronan"""
"5","A00191882MY7HMU9HDWM2","4","""30""","""26""","""short""","""4-4""","""30""","""left""","""complex""","""ralex"""
"6","A00191882MY7HMU9HDWM2","5","""25""","""39""","""short""","""3-5""","""25""","""right""","""complex""","""bugorn"""
"7","A00191882MY7HMU9HDWM2","6","""56""","""13""","""long""","""1-3""","""56""","""right""","""complex""","""binivatrus"""
"8","A00191882MY7HMU9HDWM2","7","""34""","""37""","""long""","""2-2""","""34""","""left""","""complex""","""fepolopus"""
"9","A01760461GD1NQFD60BEF","0","""7""","""17""","""short""","""2-3""","""7""","""left""","""complex""","""ratum"""
"10","A01760461GD1NQFD60BEF","1","""35""","""29""","""long""","""1-5""","""35""","""right""","""complex""","""binivatrus"""
"11","A01760461GD1NQFD60BEF","2","""47""","""23""","""short""","""4-4""","""47""","""left""","""complex""","""torun"""
"12","A01760461GD1NQFD60BEF","3","""41""","""5""","""short""","""2-4""","""41""","""right""","""complex""","""lopus"""
"13","A01760461GD1NQFD60BEF","4","""20""","""46""","""long""","""1-1""","""20""","""right""","""complex""","""pakuwugnum"""
"14","A01760461GD1NQFD60BEF","5","""39""","""59""","""long""","""1-3""","""59""","""right""","""simple""","""tupabugorn"""
"15","A01760461GD1NQFD60BEF","6","""37""","""6""","""short""","""2-2""","""6""","""right""","""simple""","""gronan"""
"16","A01760461GD1NQFD60BEF","7","""38""","""48""","""long""","""3-5""","""48""","""left""","""simple""","""tiburalex"""
"17","A05468182BMYGSEVPONMN","0","""53""","""28""","""short""","""1-5""","""53""","""right""","""complex""","""ratum"""
"18","A05468182BMYGSEVPONMN","1","""49""","""19""","""short""","""1-2""","""19""","""left""","""simple""","""ralex"""
"19","A05468182BMYGSEVPONMN","2","""21""","""50""","""short""","""3-5""","""21""","""right""","""complex""","""bugorn"""
"20","A05468182BMYGSEVPONMN","3","""20""","""54""","""short""","""1-1""","""54""","""right""","""simple""","""gronan"""
